Model,MDO4104-3
Firmware Version,3.18

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,1.82,
Sample Interval,2e-05,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,20,0.02
Vertical Position,-0.18,-0.74
,,
,,
,,
Label,,
TIME,CH1,CH3
8.200000e-01,-0.521875,-0.00187187
8.200200e-01,-0.565625,-0.00724375
8.200400e-01,-0.540625,-0.00363437
8.200600e-01,-0.540625,-0.00383125
8.200800e-01,-0.509375,-0.0041625
8.201000e-01,-0.5125,-0.00130625
8.201200e-01,-0.590625,-0.00739375
8.201400e-01,-0.565625,-0.00379688
8.201600e-01,-0.5125,-0.00385
8.201800e-01,-0.50625,-0.00392813
8.202000e-01,-0.5125,-0.0011875
8.202200e-01,-0.53125,-0.00635
8.202400e-01,-0.51875,-0.00365625
8.202600e-01,-0.5,-0.00384687
8.202800e-01,-0.540625,-0.00391562
8.203000e-01,-0.55,-0.00162188
8.203200e-01,-0.58125,-0.00589375
8.203400e-01,-0.575,-0.00449375
8.203600e-01,-0.546875,-0.00475
8.203800e-01,-0.525,-0.00298438
8.204000e-01,-0.5375,-0.00217188
8.204200e-01,-0.50625,-0.00467187
8.204400e-01,-0.534375,-0.00447812
8.204600e-01,-0.50625,-0.0053125
8.204800e-01,-0.49375,-0.00316875
8.205000e-01,-0.490625,-0.00368125
8.205200e-01,-0.478125,-0.00365625
8.205400e-01,-0.49375,-0.00494063
8.205600e-01,-0.490625,-0.00424688
8.205800e-01,-0.51875,-0.0034125
8.206000e-01,-0.53125,-0.00369375
8.206200e-01,-0.53125,-0.0025875
8.206400e-01,-0.53125,-0.0058125
8.206600e-01,-0.48125,-0.00396563
8.206800e-01,-0.51875,-0.00365625
8.207000e-01,-0.521875,-0.00389375
8.207200e-01,-0.51875,-0.001325
8.207400e-01,-0.5375,-0.00664688
8.207600e-01,-0.565625,-0.004475
8.207800e-01,-0.559375,-0.00331562
8.208000e-01,-0.565625,-0.00454687
8.208200e-01,-0.5125,-0.0023625
8.208400e-01,-0.490625,-0.00529687
8.208600e-01,-0.49375,-0.0043125
8.208800e-01,-0.521875,-0.00347812
8.209000e-01,-0.525,-0.00419375
8.209200e-01,-0.5125,-0.0025125
8.209400e-01,-0.490625,-0.00444687
8.209600e-01,-0.50625,-0.0052
8.209800e-01,-0.521875,-0.00289688
8.210000e-01,-0.490625,-0.00409063
8.210200e-01,-0.484375,-0.00185937
8.210400e-01,-0.484375,-0.003325
8.210600e-01,-0.525,-0.00470312
8.210800e-01,-0.5125,-0.0029625
8.211000e-01,-0.525,-0.00404062
8.211200e-01,-0.55,-0.00217188
8.211400e-01,-0.521875,-0.00285
8.211600e-01,-0.546875,-0.005675
8.211800e-01,-0.521875,-0.00367188
8.212000e-01,-0.553125,-0.004325
8.212200e-01,-0.58125,-0.00219688
8.212400e-01,-0.55,-0.002675
8.212600e-01,-0.496875,-0.00575938
8.212800e-01,-0.484375,-0.00410625
8.213000e-01,-0.525,-0.00415313
8.213200e-01,-0.5375,-0.0028125
